Function,Array_Size,Comparisons
Pair Comparison,971,1455
STL minmax_element,971,1455
Linear Search,295,583
Pair Comparison,295,441
STL minmax_element,295,441
Linear Search,295,580
Pair Comparison,295,441
STL minmax_element,295,441
Linear Search,295,583
Pair Comparison,295,441
STL minmax_element,295,441
Linear Search,295,583
Pair Comparison,295,441
STL minmax_element,295,441
Linear Search,295,584
Pair Comparison,295,441
STL minmax_element,295,441
Linear Search,295,582
Pair Comparison,295,441
STL minmax_element,295,441
Linear Search,295,583
Pair Comparison,295,441
STL minmax_element,295,441
Linear Search,295,584
Pair Comparison,295,441
STL minmax_element,295,441
Linear Search,295,331
Pair Comparison,295,441
STL minmax_element,295,441
Linear Search,295,588
Pair Comparison,295,441
STL minmax_element,295,440
Linear Search,338,670
Pair Comparison,338,505
STL minmax_element,338,505
Linear Search,338,670
Pair Comparison,338,505
STL minmax_element,338,505
Linear Search,338,672
Pair Comparison,338,505
STL minmax_element,338,505
Linear Search,338,667
Pair Comparison,338,505
STL minmax_element,338,505
Linear Search,338,669
Pair Comparison,338,505
STL minmax_element,338,505
Linear Search,338,670
Pair Comparison,338,505
STL minmax_element,338,505
Linear Search,338,671
Pair Comparison,338,505
STL minmax_element,338,505
Linear Search,338,669
Pair Comparison,338,505
STL minmax_element,338,505
Linear Search,338,382
Pair Comparison,338,505
STL minmax_element,338,505
Linear Search,338,674
Pair Comparison,338,505
STL minmax_element,338,505
Linear Search,693,1381
Pair Comparison,693,1038
STL minmax_element,693,1038
Linear Search,693,1376
Pair Comparison,693,1038
STL minmax_element,693,1038
Linear Search,693,1382
Pair Comparison,693,1038
STL minmax_element,693,1038
Linear Search,693,1382
Pair Comparison,693,1038
STL minmax_element,693,1038
Linear Search,693,1379
Pair Comparison,693,1038
STL minmax_element,693,1038
Linear Search,693,1382
Pair Comparison,693,1038
STL minmax_element,693,1038
Linear Search,693,1381
Pair Comparison,693,1038
STL minmax_element,693,1038
Linear Search,693,1376
Pair Comparison,693,1038
STL minmax_element,693,1038
Linear Search,693,903
Pair Comparison,693,1038
STL minmax_element,693,1038
Linear Search,693,1384
Pair Comparison,693,1038
STL minmax_element,693,1037
Linear Search,598,1193
Pair Comparison,598,895
STL minmax_element,598,895
Linear Search,598,1189
Pair Comparison,598,895
STL minmax_element,598,895
Linear Search,598,1184
Pair Comparison,598,895
STL minmax_element,598,895
Linear Search,598,1188
Pair Comparison,598,895
STL minmax_element,598,895
Linear Search,598,1188
Pair Comparison,598,895
STL minmax_element,598,895
Linear Search,598,1190
Pair Comparison,598,895
STL minmax_element,598,895
Linear Search,598,1187
Pair Comparison,598,895
STL minmax_element,598,895
Linear Search,598,1186
Pair Comparison,598,895
STL minmax_element,598,895
Linear Search,598,735
Pair Comparison,598,895
STL minmax_element,598,895
Linear Search,598,1194
Pair Comparison,598,895
STL minmax_element,598,895
Linear Search,838,1668
Pair Comparison,838,1255
STL minmax_element,838,1255
Linear Search,838,1668
Pair Comparison,838,1255
STL minmax_element,838,1255
Linear Search,838,1671
Pair Comparison,838,1255
STL minmax_element,838,1255
Linear Search,838,1671
Pair Comparison,838,1255
STL minmax_element,838,1255
Linear Search,838,1671
Pair Comparison,838,1255
STL minmax_element,838,1255
Linear Search,838,1670
Pair Comparison,838,1255
STL minmax_element,838,1255
Linear Search,838,1671
Pair Comparison,838,1255
STL minmax_element,838,1255
Linear Search,838,1672
Pair Comparison,838,1255
STL minmax_element,838,1255
Linear Search,838,1104
Pair Comparison,838,1255
STL minmax_element,838,1255
Linear Search,838,1674
Pair Comparison,838,1255
STL minmax_element,838,1255
Linear Search,54,101
Pair Comparison,54,79
STL minmax_element,54,79
Linear Search,54,102
Pair Comparison,54,79
STL minmax_element,54,79
Linear Search,54,103
Pair Comparison,54,79
STL minmax_element,54,79
Linear Search,54,101
Pair Comparison,54,79
STL minmax_element,54,79
Linear Search,54,101
Pair Comparison,54,79
STL minmax_element,54,79
Linear Search,54,104
Pair Comparison,54,79
STL minmax_element,54,79
Linear Search,54,103
Pair Comparison,54,79
STL minmax_element,54,79
Linear Search,54,103
Pair Comparison,54,79
STL minmax_element,54,79
Linear Search,54,55
Pair Comparison,54,79
STL minmax_element,54,79
Linear Search,54,106
Pair Comparison,54,79
STL minmax_element,54,79
Linear Search,431,856
Pair Comparison,431,645
STL minmax_element,431,645
Linear Search,431,854
Pair Comparison,431,645
STL minmax_element,431,645
Linear Search,431,857
Pair Comparison,431,645
STL minmax_element,431,645
Linear Search,431,849
Pair Comparison,431,645
STL minmax_element,431,645
Linear Search,431,856
Pair Comparison,431,645
STL minmax_element,431,645
Linear Search,431,855
Pair Comparison,431,645
STL minmax_element,431,645
Linear Search,431,855
Pair Comparison,431,645
STL minmax_element,431,645
Linear Search,431,853
Pair Comparison,431,645
STL minmax_element,431,645
Linear Search,431,509
Pair Comparison,431,645
STL minmax_element,431,645
Linear Search,431,860
Pair Comparison,431,645
STL minmax_element,431,644
Linear Search,558,1108
Pair Comparison,558,835
STL minmax_element,558,835
Linear Search,558,1106
Pair Comparison,558,835
STL minmax_element,558,835
Linear Search,558,1108
Pair Comparison,558,835
STL minmax_element,558,835
Linear Search,558,1105
Pair Comparison,558,835
STL minmax_element,558,835
Linear Search,558,1107
Pair Comparison,558,835
STL minmax_element,558,835
Linear Search,558,1108
Pair Comparison,558,835
STL minmax_element,558,835
Linear Search,558,1104
Pair Comparison,558,835
STL minmax_element,558,835
Linear Search,558,1108
Pair Comparison,558,835
STL minmax_element,558,835
Linear Search,558,690
Pair Comparison,558,835
STL minmax_element,558,835
Linear Search,558,1114
Pair Comparison,558,835
STL minmax_element,558,835
Linear Search,77,147
Pair Comparison,77,114
STL minmax_element,77,114
Linear Search,77,149
Pair Comparison,77,114
STL minmax_element,77,114
Linear Search,77,148
Pair Comparison,77,114
STL minmax_element,77,114
Linear Search,77,145
Pair Comparison,77,114
STL minmax_element,77,114
Linear Search,77,151
Pair Comparison,77,114
STL minmax_element,77,114
Linear Search,77,149
Pair Comparison,77,114
STL minmax_element,77,114
Linear Search,77,146
Pair Comparison,77,114
STL minmax_element,77,114
Linear Search,77,147
Pair Comparison,77,114
STL minmax_element,77,114
Linear Search,77,79
Pair Comparison,77,114
STL minmax_element,77,114
Linear Search,77,152
Pair Comparison,77,114
STL minmax_element,77,113
Linear Search,525,1045
Pair Comparison,525,786
STL minmax_element,525,786
Linear Search,525,1043
Pair Comparison,525,786
STL minmax_element,525,786
Linear Search,525,1045
Pair Comparison,525,786
STL minmax_element,525,786
Linear Search,525,1043
Pair Comparison,525,786
STL minmax_element,525,786
Linear Search,525,1041
Pair Comparison,525,786
STL minmax_element,525,786
Linear Search,525,1046
Pair Comparison,525,786
STL minmax_element,525,786
Linear Search,525,1046
Pair Comparison,525,786
STL minmax_element,525,786
Linear Search,525,1043
Pair Comparison,525,786
STL minmax_element,525,786
Linear Search,525,645
Pair Comparison,525,786
STL minmax_element,525,786
Linear Search,525,1048
Pair Comparison,525,786
STL minmax_element,525,785
Linear Search,588,1170
Pair Comparison,588,880
STL minmax_element,588,880
Linear Search,588,1168
Pair Comparison,588,880
STL minmax_element,588,880
Linear Search,588,1165
Pair Comparison,588,880
STL minmax_element,588,880
Linear Search,588,1167
Pair Comparison,588,880
STL minmax_element,588,880
Linear Search,588,1165
Pair Comparison,588,880
STL minmax_element,588,880
Linear Search,588,1167
Pair Comparison,588,880
STL minmax_element,588,880
Linear Search,588,1166
Pair Comparison,588,880
STL minmax_element,588,880
Linear Search,588,1165
Pair Comparison,588,880
STL minmax_element,588,880
Linear Search,588,731
Pair Comparison,588,880
STL minmax_element,588,880
Linear Search,588,1174
Pair Comparison,588,880
STL minmax_element,588,880
Linear Search,679,1349
Pair Comparison,679,1017
STL minmax_element,679,1017
Linear Search,679,1350
Pair Comparison,679,1017
STL minmax_element,679,1017
Linear Search,679,1350
Pair Comparison,679,1017
STL minmax_element,679,1017
Linear Search,679,1348
Pair Comparison,679,1017
STL minmax_element,679,1017
Linear Search,679,1349
Pair Comparison,679,1017
STL minmax_element,679,1017
Linear Search,679,1352
Pair Comparison,679,1017
STL minmax_element,679,1017
Linear Search,679,1351
Pair Comparison,679,1017
STL minmax_element,679,1017
Linear Search,679,1355
Pair Comparison,679,1017
STL minmax_element,679,1017
Linear Search,679,871
Pair Comparison,679,1017
STL minmax_element,679,1017
Linear Search,679,1356
Pair Comparison,679,1017
STL minmax_element,679,1016
Linear Search,581,1155
Pair Comparison,581,870
STL minmax_element,581,870
Linear Search,581,1153
Pair Comparison,581,870
STL minmax_element,581,870
Linear Search,581,1158
Pair Comparison,581,870
STL minmax_element,581,870
Linear Search,581,1158
Pair Comparison,581,870
STL minmax_element,581,870
Linear Search,581,1157
Pair Comparison,581,870
STL minmax_element,581,870
Linear Search,581,1154
Pair Comparison,581,870
STL minmax_element,581,870
Linear Search,581,1150
Pair Comparison,581,870
STL minmax_element,581,870
Linear Search,581,1156
Pair Comparison,581,870
STL minmax_element,581,870
Linear Search,581,733
Pair Comparison,581,870
STL minmax_element,581,870
Linear Search,581,1160
Pair Comparison,581,870
STL minmax_element,581,869
Linear Search,512,1016
Pair Comparison,512,766
STL minmax_element,512,766
Linear Search,512,1014
Pair Comparison,512,766
STL minmax_element,512,766
Linear Search,512,1017
Pair Comparison,512,766
STL minmax_element,512,766
Linear Search,512,1018
Pair Comparison,512,766
STL minmax_element,512,766
Linear Search,512,1016
Pair Comparison,512,766
STL minmax_element,512,766
Linear Search,512,1017
Pair Comparison,512,766
STL minmax_element,512,766
Linear Search,512,1018
Pair Comparison,512,766
STL minmax_element,512,766
Linear Search,512,1018
Pair Comparison,512,766
STL minmax_element,512,766
Linear Search,512,622
Pair Comparison,512,766
STL minmax_element,512,766
Linear Search,512,1022
Pair Comparison,512,766
STL minmax_element,512,766
Linear Search,209,414
Pair Comparison,209,312
STL minmax_element,209,312
Linear Search,209,411
Pair Comparison,209,312
STL minmax_element,209,312
Linear Search,209,410
Pair Comparison,209,312
STL minmax_element,209,312
Linear Search,209,410
Pair Comparison,209,312
STL minmax_element,209,312
Linear Search,209,414
Pair Comparison,209,312
STL minmax_element,209,312
Linear Search,209,414
Pair Comparison,209,312
STL minmax_element,209,312
Linear Search,209,410
Pair Comparison,209,312
STL minmax_element,209,312
Linear Search,209,411
Pair Comparison,209,312
STL minmax_element,209,312
Linear Search,209,228
Pair Comparison,209,312
STL minmax_element,209,312
Linear Search,209,416
Pair Comparison,209,312
STL minmax_element,209,311
Linear Search,723,1437
Pair Comparison,723,1083
STL minmax_element,723,1083
Linear Search,723,1437
Pair Comparison,723,1083
STL minmax_element,723,1083
Linear Search,723,1439
Pair Comparison,723,1083
STL minmax_element,723,1083
Linear Search,723,1439
Pair Comparison,723,1083
STL minmax_element,723,1083
Linear Search,723,1440
Pair Comparison,723,1083
STL minmax_element,723,1083
Linear Search,723,1436
Pair Comparison,723,1083
STL minmax_element,723,1083
Linear Search,723,1436
Pair Comparison,723,1083
STL minmax_element,723,1083
Linear Search,723,1440
Pair Comparison,723,1083
STL minmax_element,723,1083
Linear Search,723,923
Pair Comparison,723,1083
STL minmax_element,723,1083
Linear Search,723,1444
Pair Comparison,723,1083
STL minmax_element,723,1082
Linear Search,905,1804
Pair Comparison,905,1356
STL minmax_element,905,1356
Linear Search,905,1799
Pair Comparison,905,1356
STL minmax_element,905,1356
Linear Search,905,1807
Pair Comparison,905,1356
STL minmax_element,905,1356
Linear Search,905,1801
Pair Comparison,905,1356
STL minmax_element,905,1356
Linear Search,905,1800
Pair Comparison,905,1356
STL minmax_element,905,1356
Linear Search,905,1800
Pair Comparison,905,1356
STL minmax_element,905,1356
Linear Search,905,1800
Pair Comparison,905,1356
STL minmax_element,905,1356
Linear Search,905,1801
Pair Comparison,905,1356
STL minmax_element,905,1356
Linear Search,905,1225
Pair Comparison,905,1356
STL minmax_element,905,1356
Linear Search,905,1808
Pair Comparison,905,1356
STL minmax_element,905,1355
Linear Search,888,1767
Pair Comparison,888,1330
STL minmax_element,888,1330
Linear Search,888,1768
Pair Comparison,888,1330
STL minmax_element,888,1330
Linear Search,888,1770
Pair Comparison,888,1330
STL minmax_element,888,1330
Linear Search,888,1768
Pair Comparison,888,1330
STL minmax_element,888,1330
Linear Search,888,1762
Pair Comparison,888,1330
STL minmax_element,888,1330
Linear Search,888,1770
Pair Comparison,888,1330
STL minmax_element,888,1330
Linear Search,888,1769
Pair Comparison,888,1330
STL minmax_element,888,1330
Linear Search,888,1768
Pair Comparison,888,1330
STL minmax_element,888,1330
Linear Search,888,1202
Pair Comparison,888,1330
STL minmax_element,888,1330
Linear Search,888,1774
Pair Comparison,888,1330
STL minmax_element,888,1330
Linear Search,621,1235
Pair Comparison,621,930
STL minmax_element,621,930
Linear Search,621,1235
Pair Comparison,621,930
STL minmax_element,621,930
Linear Search,621,1234
Pair Comparison,621,930
STL minmax_element,621,930
Linear Search,621,1236
Pair Comparison,621,930
STL minmax_element,621,930
Linear Search,621,1233
Pair Comparison,621,930
STL minmax_element,621,930
Linear Search,621,1232
Pair Comparison,621,930
STL minmax_element,621,930
Linear Search,621,1238
Pair Comparison,621,930
STL minmax_element,621,930
Linear Search,621,1231
Pair Comparison,621,930
STL minmax_element,621,930
Linear Search,621,771
Pair Comparison,621,930
STL minmax_element,621,930
Linear Search,621,1240
Pair Comparison,621,930
STL minmax_element,621,929
Linear Search,573,1137
Pair Comparison,573,858
STL minmax_element,573,858
Linear Search,573,1139
Pair Comparison,573,858
STL minmax_element,573,858
Linear Search,573,1140
Pair Comparison,573,858
STL minmax_element,573,858
Linear Search,573,1135
Pair Comparison,573,858
STL minmax_element,573,858
Linear Search,573,1139
Pair Comparison,573,858
STL minmax_element,573,858
Linear Search,573,1139
Pair Comparison,573,858
STL minmax_element,573,858
Linear Search,573,1139
Pair Comparison,573,858
STL minmax_element,573,858
Linear Search,573,1142
Pair Comparison,573,858
STL minmax_element,573,858
Linear Search,573,703
Pair Comparison,573,858
STL minmax_element,573,858
Linear Search,573,1144
Pair Comparison,573,858
STL minmax_element,573,857
Linear Search,280,552
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,553
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,555
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,553
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,549
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,555
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,551
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,548
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,322
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,558
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,471,935
Pair Comparison,471,705
STL minmax_element,471,705
Linear Search,471,935
Pair Comparison,471,705
STL minmax_element,471,705
Linear Search,471,931
Pair Comparison,471,705
STL minmax_element,471,705
Linear Search,471,937
Pair Comparison,471,705
STL minmax_element,471,705
Linear Search,471,936
Pair Comparison,471,705
STL minmax_element,471,705
Linear Search,471,936
Pair Comparison,471,705
STL minmax_element,471,705
Linear Search,471,939
Pair Comparison,471,705
STL minmax_element,471,705
Linear Search,471,930
Pair Comparison,471,705
STL minmax_element,471,705
Linear Search,471,577
Pair Comparison,471,705
STL minmax_element,471,705
Linear Search,471,940
Pair Comparison,471,705
STL minmax_element,471,704
Linear Search,286,567
Pair Comparison,286,427
STL minmax_element,286,427
Linear Search,286,562
Pair Comparison,286,427
STL minmax_element,286,427
Linear Search,286,563
Pair Comparison,286,427
STL minmax_element,286,427
Linear Search,286,563
Pair Comparison,286,427
STL minmax_element,286,427
Linear Search,286,564
Pair Comparison,286,427
STL minmax_element,286,427
Linear Search,286,567
Pair Comparison,286,427
STL minmax_element,286,427
Linear Search,286,567
Pair Comparison,286,427
STL minmax_element,286,427
Linear Search,286,564
Pair Comparison,286,427
STL minmax_element,286,427
Linear Search,286,311
Pair Comparison,286,427
STL minmax_element,286,427
Linear Search,286,570
Pair Comparison,286,427
STL minmax_element,286,427
